omics,method,direction,source,target,source_raw,target_raw,predicted_weight,predicted_score,predicted_rank,ko_gene,validated_gene,validation_p_value,validation_effect_size,validation_significant
proteomics,GenKI,Forward (CSFŌåÆPBMC),FABP3,AGRN,FABP3,AGRN,1.299656,0.1407481586371373,9,FABP3,AGRN,0.000149603637522,1.8956580522600688,True
proteomics,GenKI,Reverse (PBMCŌåÆCSF),MAPT,MAPT,MAPT,MAPT,3.391797211910819,0.999999945209372,1,MAPT,MAPT,0.0001011992371019,2.0001353980080334,True
proteomics,GenKI,Reverse (PBMCŌåÆCSF),FABP3,AGRN,FABP3,AGRN,1.299656,0.1407481586371373,9,AGRN,FABP3,0.0195997119986974,0.8035903699082688,True
transcriptomics,GenKI,Forward (CSFŌåÆPBMC),SNHG5,PET100,ENSG00000203875,ENSG00000229833,-0.15345779,0.0966906798531768,6,SNHG5,PET100,4.425916520125632e-06,2.986788248718018,True
transcriptomics,GenKI,Forward (CSFŌåÆPBMC),SNHG5,TMEM258,ENSG00000203875,ENSG00000134825,-0.13875127,0.0752660437949441,10,SNHG5,TMEM258,9.623026262599592e-07,3.589755946873729,True
transcriptomics,GenKI,Forward (CSFŌåÆPBMC),SNHG5,SYNGR2,ENSG00000203875,ENSG00000108639,-0.14420712,0.0735635087027213,12,SNHG5,SYNGR2,2.660240669489647e-07,4.17698975804838,True
transcriptomics,GenKI,Forward (CSFŌåÆPBMC),SNHG5,ATP5ME,ENSG00000203875,ENSG00000169020,-0.13954578,0.0676920001570257,14,SNHG5,ATP5ME,0.0128545520932707,0.8893132380820746,True
transcriptomics,GenKI,Forward (CSFŌåÆPBMC),SNHG5,CTSC,ENSG00000203875,ENSG00000109861,-0.16255887,0.0617768312681763,16,SNHG5,CTSC,7.664779742402586e-08,4.826321811065172,True
transcriptomics,GenKI,Forward (CSFŌåÆPBMC),SNHG5,EPS15,ENSG00000203875,ENSG00000085832,-0.12773545,0.0511852676761674,17,SNHG5,EPS15,2.352996193001274e-06,3.2251376969580208,True
transcriptomics,GenKI,Forward (CSFŌåÆPBMC),SNHG5,GPI,ENSG00000203875,ENSG00000105220,-0.1355742,0.0477001593884627,20,SNHG5,GPI,8.632094148263256e-06,2.7506303080309613,True
transcriptomics,GenKI,Forward (CSFŌåÆPBMC),SNHG5,SLC9A9,ENSG00000203875,ENSG00000181804,-0.14748338,0.0424074247661283,24,SNHG5,SLC9A9,0.0001461054783111,1.9018830373856288,True
transcriptomics,GenKI,Forward (CSFŌåÆPBMC),SNHG5,IL10RA,ENSG00000203875,ENSG00000110324,-0.13021109,0.0366914352596257,26,SNHG5,IL10RA,9.497031409669963e-08,4.708262862376849,True
transcriptomics,GenKI,Forward (CSFŌåÆPBMC),SNHG5,SNRPB2,ENSG00000203875,ENSG00000125870,-0.11204231,0.0252867033402037,42,SNHG5,SNRPB2,3.156654379151224e-05,2.333879579982661,True
transcriptomics,GenKI,Forward (CSFŌåÆPBMC),SNHG5,PSMB2,ENSG00000203875,ENSG00000126067,-0.11300222,0.0232369573412546,43,SNHG5,PSMB2,0.0066901470763721,1.022927559270101,True
transcriptomics,GenKI,Forward (CSFŌåÆPBMC),PRKAR2B,DPYD,ENSG00000005249,ENSG00000188641,0.09954718,0.0128447975653911,58,PRKAR2B,DPYD,9.954481316235068e-05,2.0046189960259047,True
transcriptomics,GenKI,Forward (CSFŌåÆPBMC),SNHG5,SON,ENSG00000203875,ENSG00000159140,-0.096483074,0.0127284217113718,59,SNHG5,SON,2.364999096722863e-05,2.4222710905425378,True
transcriptomics,GenKI,Forward (CSFŌåÆPBMC),SNHG5,TCF12,ENSG00000203875,ENSG00000140262,-0.100229315,0.0119664760204323,62,SNHG5,TCF12,1.975950824814493e-05,2.47852070874435,True
transcriptomics,GenKI,Forward (CSFŌåÆPBMC),SNHG5,NCOA2,ENSG00000203875,ENSG00000140396,-0.096418984,0.0119485026805303,63,SNHG5,NCOA2,0.0057125455071751,1.0555911372744116,True
transcriptomics,GenKI,Reverse (PBMCŌåÆCSF),PRKAR2B,CAVIN2,ENSG00000005249,ENSG00000168497,0.5210574,0.9999999178241794,1,CAVIN2,PRKAR2B,0.0255590848222406,0.7495408514081648,True
transcriptomics,GenKI,Reverse (PBMCŌåÆCSF),PRKAR2B,LRBA,ENSG00000005249,ENSG00000198589,0.12312092,0.0453570663090027,21,LRBA,PRKAR2B,0.0255592868838949,0.7495392384123688,True
transcriptomics,GenKI,Reverse (PBMCŌåÆCSF),PRKAR2B,CYB5R3,ENSG00000005249,ENSG00000100243,0.117349625,0.0259306846471796,41,CYB5R3,PRKAR2B,0.0255588606762122,0.7495426407113087,True
transcriptomics,GenKI,Reverse (PBMCŌåÆCSF),PRKAR2B,SURF1,ENSG00000005249,ENSG00000148290,0.09624396,0.0150259400829428,55,SURF1,PRKAR2B,0.0255591595866611,0.749540254585426,True
